,Neighbourhood,Latitude,Longitude,Venue_Name,Venue_Cat,Venue_Lat,Venue_Lng
180,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,Costa Coffee,Coffee Shop,55.85906359301788,-4.263986709147543
181,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,Starbucks,Coffee Shop,55.864267,-4.254371
182,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,Charing Cross Coffee,Café,55.86624,-4.272388
183,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,Gesso Tea and Coffee Lounge,Coffee Shop,55.86677576738539,-4.271014997522088
184,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,278 Coffee House,Snack Place,55.86225200187609,-4.265483775075397
185,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,Hope & Argyle Coffee House,Coffee Shop,55.858294,-4.259526
186,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,Thomson's Coffee Roasters,Coffee Shop,55.858295,-4.258469
187,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,Starbucks,Coffee Shop,55.86507437076079,-4.254110627171739
188,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,Wisdom Coffee Co,Coffee Shop,55.86540017898365,-4.27044995713106
189,"Calton (part), Cowcaddens (part), Drygate, Kelvinbridge, Townhead, Woodlands (part), Woodside (part)",55.871,-4.2494,Starbucks,Coffee Shop,55.863362,-4.252682
